"hitter_name","batter"
"Kipnis, Jason",543401
"Valaika, Pat",642162
"Trumbo, Mark",444432
"Schoop, Jonathan",570731
"Brantley, Michael",488726
"Ross, Tyson",475115
"Holaday, Bryan",592407
"Pham, Tommy",502054
"Camargo, Johan",622666
"Andújar, Miguel",609280
"Davis, Chris",448801
"Martin, Russell",431145
"Williams, Mason",592863
"Goodwin, Brian",571718
"Martínez, José",500874
"Gardner, Brett",458731
"Devers, Rafael",646240
"Hicks, Aaron",543305
"Corbin, Patrick",571578
"Jones, Adam",430945
"Culberson, Charlie",518586
"Calhoun, Willie",641432
"Bradley Jr., Jackie",598265
"Mathis, Jeff",425772
"Wade, Tyler",642180
"Moreland, Mitch",519048
"Knapp, Andrew",595284
"Kiner-Falefa, Isiah",643396
"Lindor, Francisco",596019
"Peterson, Jace",607054
"Guzmán, Ronald",608597
"Pinder, Chad",640461
"Aguilar, Jesús",542583
"Canha, Mark",592192
"Morrison, Logan",489149
"Thames, Eric",519346
"Garver, Mitch",641598
"Fowler, Dexter",451594
"Dozier, Brian",572821
"Semien, Marcus",543760
"Manaea, Sean",640455
"Rodríguez, Sean",446481
"Cave, Jake",595909
"Weaver, Luke",596133
"Grossman, Robbie",543257
"Broxton, Keon",542979
"Briceño, José",593993
"Iannetta, Chris",455104
"Heredia, Guillermo",628338
"Nova, Iván",467100
"Cruz, Nelson",443558
"Haniger, Mitch",571745
"Bell, Josh",605137
"Freeland, Kyle",607536
"Gamel, Ben",592325
"Díaz, Elias",553869
"Gomes, Yan",543228
"Garcia, Greg",594824
"Kershaw, Clayton",477132
"Benintendi, Andrew",643217
"Verdugo, Alex",657077
"Moran, Colin",592567
"Guyer, Brandon",446386
"Jackson, Austin",457706
"Beckham, Tim",542921
"Valencia, Danny",502143
"Straily, Dan",573185
"Rodríguez, Dereck",605446
"Adrianza, Ehire",501303
"Pence, Hunter",452254
"Duvall, Adam",594807
"Mancini, Trey",641820
"Wilson, Bobby",435064
"Lorenzen, Michael",547179
"Suzuki, Kurt",435559
"Avila, Alex",488671
"Bour, Justin",571506
"Choi, Ji-Man",596847
"Difo, Wilmer",594694
"Iglesias, José",578428
"Jones, JaCoby",592444
"Almora Jr., Albert",546991
"Hicks, John",543308
"Castellanos, Nick",592206
"La Stella, Tommy",600303
"Phegley, Josh",572033
"Bautista, José",430832
"Reyes, Victor",622682
"Span, Denard",452655
"Flores, Wilmer",527038
"Martinez, Victor",400121
"Conforto, Michael",624424
"Happ, Ian",664023
"Oswalt, Corey",621261
"Miller, Brad",543543
"Plawecki, Kevin",608700
"McNeil, Jeff",643446
"Saladino, Tyler",573135
"Valentín, Jesmuel",621044
"Candelario, Jeimer",600869
"Wheeler, Zack",554430
"Altuve, Jose",514888
"Cole, Gerrit",543037
"Mesoraco, Devin",519023
"Bailey, Homer",456701
"Casali, Curt",592200
"Motter, Taylor",600301
"Ervin, Phillip",640447
"Kratz, Erik",456124
"Travis, Devon",581527
"Bryant, Kris",592178
"Chacín, Jhoulys",468504
"Heyward, Jason",518792
"Orlando, Paulo",449181
"Reyes, José",408314
"Ureña, José",570632
"Rua, Ryan",607387
"Judge, Aaron",592450
"Rizzo, Anthony",519203
"Gregorius, Didi",544369
"Rodríguez, Ronny",500135
"Núñez, Renato",600524
"Federowicz, Tim",543148
"Williams, Taylor",592865
"Mikolas, Miles",571945
"Smith, Kevan",607345
"Hundley, Nick",460026
"Turner, Justin",457759
"Belt, Brandon",474832
"Altherr, Aaron",571437
"Díaz, Yandy",650490
"Valbuena, Luis",472528
"Orf, Nate",644337
"Martinez, J.D.",502110
"Flaherty, Ryan",475247
"Plouffe, Trevor",461858
"Asuaje, Carlos",641319
"Jankowski, Travis",608671
"Seager, Kyle",572122
"Spangenberg, Cory",605486
"Reyes, Franmil",614177
"Stanton, Giancarlo",519317
"Gant, John",607231
"Peña, Francisco",506747
"Williams, Justin",642211
"Winker, Jesse",608385
"Blash, Jabari",518466
"Martin, Leonys",547982
"Cuevas, Noel",571595
"McCann, James",543510
"Delmonico, Nicky",547170
"Lin, Tzu-Wei",624407
"Palka, Daniel",594953
"Márquez, Germán",608566
"Wolters, Tony",547172
"Wong, Kolten",543939
"González, Carlos",471865
"Davis, Rajai",434658
"Arrieta, Jake",453562
"Hill, Rich",448179
"Alfaro, Jorge",595751
"Flaherty, Jack",656427
"Blandino, Alex",607468
"Jones, Ryder",624507
"Caratini, Victor",605170
"LeMahieu, DJ",518934
"Freitas, David",571679
"Leake, Mike",502190
"Moroff, Max",621559
"Lopez, Raffy",607257
