"hitter_name","batter"
"Fuentes, Joshua",658069
"Ravelo, Rangel",592660
"Hoerner, Nico",663538
"Conley, Adam",543045
"Elmore, Jake",518653
"Arozarena, Randy",668227
"Bishop, Braden",623323
"Torrens, Luis",620443
"Sims, Lucas",608371
"Porcello, Rick",519144
"Read, Raudy",600466
"McRae, Alex",656725
"Stroman, Marcus",573186
"Kieboom, Carter",666198
"Estrada, Thairo",642731
"Gutiérrez, Kelvin",642721
"Noll, Jake",669738
"Hernández, Félix",433587
"Cahill, Trevor",502239
"Flexen, Chris",623167
"Gagnon, Drew",543193
"Helsley, Ryan",664854
"Stamets, Eric",608715
"Gallegos, Giovanny",606149
"Avila, Pedro",658648
"Minor, Mike",501985
"Santana, Dennis",642701
"Velázquez, Hector",584171
"Tulowitzki, Troy",453064
"Joe, Connor",656582
"Schwindel, Frank",643524
"Zavala, Seby",664874
"Jackson, Edwin",429719
"Hudson, Dakota",641712
"Rodgers, Brendan",663898
"Kelly, Merrill",518876
"Parsons, Wes",641149
"Thornton, Trent",663423
"Brach, Brad",542960
"Wilson, Bryse",669060
"Adams, Austin",613534
"Pomeranz, Drew",519141
"De Los Santos, Enyel",660853
"Kelly, Joe",523260
"Tomlin, Josh",458708
"Agrazal, Dario",642607
"Hoffman, Jeff",656546
"Oberg, Scott",623184
"Davis, Rookie",606959
"Sanchez, Aaron",592717
"DuRapau, Montana",657566
"Urquidy, José",664353
"Escobar, Luis",650813
"Hammer, JD",670456
"Allen, Logan",663531
"Jackson, Jay",543351
"Sadler, Casey",594987
"Garcia, Yimi",554340
"Maton, Phil",664208
"Alzolay, Adbert",640470
"Wojciechowski, Asher",592879
"Jackson, Alex",656577
"Civale, Aaron",650644
"Waguespack, Jacob",621097
"Melville, Tim",543532
"Noesí, Hector",456051
"Gustave, Jandel",594311
"Gonsolin, Tony",664062
"Detwiler, Ross",446321
"Fulmer, Carson",608334
"Pineda, Michael",501381
"Taylor, Tyrone",621438
"Marvel, James",621086
"Alaniz, R.J.",595798
"Plesac, Zach",668676
"Colón, Christian",518568
"Barrera, Tres",668663
"Keller, Mitch",656605
"Bolaños, Ronald",671790
"López, Jorge",605347
"Neris, Héctor",593576
"Means, John",607644
"Hart, Donnie",643354
"Wieck, Brad",623364
"Hader, Josh",623352
"Stewart, Brock",592779
"Nelson, Jimmy",519076
"Carpenter, Ryan",543001
"Font, Wilmer",521655
"Sherfy, Jimmie",642073
"Sampson, Adrian",592716
"Petit, Yusmeiro",433589
"Cessa, Luis",570666
"Swanson, Erik",657024
"Anderson, Drew",623454
"Allen, Cody",592102
"Almonte, Yency",622075
"Jackson, Drew",623515
"White, Evan",657108
"Madrigal, Nick",663611
"Robert, Luis",673357
"Paredes, Isaac",670623
"Huff, Sam",669087
"Dalbec, Bobby",666915
"White, Eli",642201
"Odom, Joseph",641929
"Bart, Joey",663698
"Mathisen, Wyatt",621500
"Soto, Elliot",519303
"Cameron, Daz",663662
"Mountcastle, Ryan",663624
"Mateo, Jorge",622761
"Adell, Jo",666176
"Harrison, Monte",656509
"Urías, Ramón",602104
"Hill, Derek",656537
"Kirk, Alejandro",672386
"Bohm, Alec",664761
"Jones, Jahmai",663330
"Hayes, Ke'Bryan",663647
"Oliva, Jared",666931
"Ruf, Darin",573131
"Apostel, Sherten",665947
"Olivares, Edward",658668
"Barrero, Jose",676480
"Espinal, Santiago",669289
"Jeffers, Ryan",680777
"Tromp, Chadwick",644433
"Oña, Jorge",671250
"Stephenson, Tyler",663886
"Rooker, Brent",667670
"Campusano, Luis",669134
"Young, Andrew",670370
"Sánchez, Ali",645305
"Tsutsugo, Yoshi",660294
"Taveras, Leody",665750
"Tejeda, Anderson",660731
"Marmolejos, José",592530
"Chisholm Jr., Jazz",665862
"García, Luis",671277
"Araúz, Jonathan",660620
"Hernandez, Yadiel",628450
"Varsho, Daulton",662139
"Carlson, Dylan",666185
"Alcántara, Sergio",642727
"Smith, Pavin",656976
"Cronenworth, Jake",630105
"Akiyama, Shogo",673451
"Heath, Nick",670084
"Heim, Jonah",641680
"Moniak, Mickey",666160
"Basabe, Luis Alexander",642772
"Giménez, Andrés",665926
"Marchan, Rafael",665561
"McKinstry, Zach",656716
"Machín, Vimael",605353
"Díaz, Lewin",650331
"Payton, Mark",592622
"Florial, Estevan",664314
"Schrock, Max",621011
"Sánchez, Jesús",660821
"Ruiz, Keibert",660688
"Alvarez, Eddy",657193
"Johnson, Daniel",669288
"McCarthy, Joe",663411
"Bonifácio, Emilio",466988
"Mathias, Mark",664029
"Craig, Will",643269
"Pache, Cristian",665506
"Nogowski, John",596056
"Contreras, William",661388
"Jones, Taylor",622100
"Navarreto, Brian",640459
"Mercedes, Yermín",606213
"Hernández, Óscar",591712
"Rojas, Jose",670351
"Walls, Taylor",670764
"Kelenic, Jarred",672284
"Baddoo, Akil",668731
"Stewart, Kohl",640464
"Godoy, José",608422
"McCormick, Chas",676801
"Kirilloff, Alex",666135
"Tom, Ka'ai",664789
"India, Jonathan",663697
"Larnach, Trevor",663616
"Nevin, Tyler",663527
"Marcano, Tucupita",672779
"Kim, Ha-Seong",673490
"Miller, Owen",680911
"Short, Zack",670097
"Vaughn, Andrew",683734
"Rortvedt, Ben",666163
"McKenna, Ryan",663630
"Anderson, Ian",666120
"Brubaker, JT",664141
"Frankoff, Seth",571676
"Campbell, Eric",493472
"Lee, Khalil",666137
"Vosler, Jason",613564
"Rivas, Webster",593590
"Woodford, Jake",663765
"Howard, Spencer",675921
"Mazeika, Patrick",664850
"Peters, DJ",656847
"Maton, Nick",665155
"Devers, José",672701
"Higgins, P.J.",664731
"Martin, Corbin",656686
"Ponce, Cody",664074
"Rogers, Trevor",669432
"Dunn, Justin",643290
"Fargas, Johneshwy",641561
"Barrera, Luis",642456
"Álvarez, José",501625
"Hager, Jake",606993
"Davidson, Tucker",656353
"Raley, Luke",670042
"Ynoa, Huascar",660623
"Ibáñez, Andy",628451
"Castillo, Ivan",622668
"Webb, Jacob",657097
"Trejo, Alan",676701
"Stokes Jr., Troy",657011
"Poteet, Cody",547001
"Kim, Kwang Hyun",547942
"Diaz, Miguel",622766
"Holloway, Jordan",656548
"Rivero, Sebastian",665861
"Thompson, Keegan",624522
"Crowe, Wil",640444
"Trammell, Taylor",666211
"Gordon, Nick",624503
"Owen, Hunter",670462
"Oviedo, Johan",670912
"De León, José",592254
"Peterson, David",656849
"Cleavinger, Garrett",664076
"Gutierrez, Vladimir",661269
"Clement, Ernie",676391
"Sheets, Gavin",657757
"Gushue, Taylor",656494
"Franco, Wander",677551
"Adams, Riley",656180
"Williams, Luke",663897
"Watson, Tony",453265
"Celestino, Gilberto",665482
"Marté, Luis",606336
"Megill, Tylor",656731
"Rivera, Emmanuel",656896
"De Jong, Chase",608328
"Lopez, Alejo",664670
"Nootbaar, Lars",663457
"Espino, Paolo",502179
"Santillan, Tony",663574
"Muller, Kyle",666205
"Blankenhorn, Travis",663905
"González, Luis",670768
"Morgan, Eli",669212
"Milner, Hoby",571948
"Burns, Andy",542992
"Thompson, Zach",605507
"Hoying, Jared",592419
"Camarena, Daniel",547176
"Peacock, Matt",676840
"Curtiss, John",595928
"Garrett, Braxton",666129
"King, John",667463
"Gittens, Chris",656467
"Sborz, Josh",622250
"Thomas, Dillon",605504
"White, Mitch",669952
"Weathers, Ryan",677960
"Nance, Tommy",667297
"Castro, Rodolfo",666801
"Ober, Bailey",641927
"De La Cruz, Bryan",650559
"Raleigh, Cal",663728
"Ellis, Drew",656403
"Terry, Curtis",663799
"Marsh, Brandon",669016
"Miller, Brian",675649
"Duran, Jarren",680776
"Wong, Connor",657136
"Kranick, Max",668820
"Díaz, Yennsy",660546
"Kaprielian, James",621076
"Moore, Matt",519043
"Brantly, Rob",542963
"Brebbia, John",605154
"Price, David",456034
"Neidert, Nick",663734
"Burger, Jake",669394
"Bruján, Vidal",660644
"Reks, Zach",676646
"Banda, Anthony",607455
"Fairchild, Stuart",656413
"Morimando, Shawn",596049
"Long, Sam",669674
"Rivas, Alfonso",663845
"Park, Hoy",660829
"Hernandez, Yonny",660634
"Dorow, Ryan",676900
"Meyers, Jake",676694
"Pozo, Yohel",650968
"Smith, Kevin",675656
"Luzardo, Jesús",666200
"McCarthy, Jake",664983
"Mejía, Humberto",650668
"Palacios, Josh",641943
"Gilbert, Tyler",656457
"Cabrera, Edward",665795
"Mize, Casey",663554
"Montgomery, Jordan",656756
"Hernández, Carlos",672578
"Nolin, Sean",543594
"Wilson, Jacob",607111
"Brentz, Jake",641394
"Gray, Josiah",680686
"Manoah, Alek",666201
"Uceta, Edwin",670955
"Mears, Nick",683232
"Robson, Jacob",615699
"Deichmann, Greg",656364
"Bruihl, Justin",677865
"Vesia, Alex",681911
"Detmers, Reid",672282
"Cease, Dylan",656302
"Widener, Taylor",642203
"McCullers Jr., Lance",621121
"Castillo, Erick",602080
"Giambrone, Trent",623508
"Fortes, Nick",663743
"Adon, Joan",672851
"Welker, Colton",666213
"Vierling, Matt",663837
"Houck, Tanner",656557
"Rea, Colin",607067
"Abbott, Cory",676265
"Henry, Payton",668721
"Goudeau, Ashton",623485
"Siri, Jose",642350
"Littell, Zack",641793
"Gonzalez, Romy",663853
"Rosso, Ramón",665759
"Schmidt, Clarke",657376
"Crismatt, Nabil",622503
"Feltner, Ryan",663372
"Murphy, Patrick",641907
"Arihara, Kohei",685503
"López, Jack",605346
"Valdez, Framber",664285
"Ashby, Aaron",676879
"Alexander, Tyler",641302
"Knehr, Reiss",663753
"Ramos, Henry",592656
"Sanmartin, Reiver",665665
"Friedl, TJ",670770
"Cruz, Oneil",665833
"Perdomo, Geraldo",672695
"Steele, Justin",657006
"Isbel, Kyle",664728
"Akin, Keegan",669211
"Campbell, Paul",669294
"Rogers, Josh",642028
"Lowe, Josh",666139
"Padlo, Kevin",656821
"Bleier, Richard",542947
"Kazmar Jr., Sean",453527
"Feliciano, Mario",666128
"Smith, Riley",642092
"Richards, Garrett",572070
"Zimmermann, Bruce",669145
"De Goti, Alex",621008
"Bassitt, Chris",605135
"Antone, Tejay",622088
"Jax, Griffin",643377
"McCaughan, Darren",670766
"Amburgey, Trey",664011
"Stock, Robert",476594
"McGowin, Kyle",641851
"Okert, Steven",595345
"Faria, Jake",607188
"Chavez, Jesse",445926
"Falter, Bailey",663559
"Fernández, Junior",658551
"Payne, Tyler",665066
"Ladendorf, Tyler",502285
"Kazmir, Scott",431148
"Vilade, Ryan",668723
"Effross, Scott",664123
"Beer, Seth",666179
"Peralta, Wily",503449
"Naughton, Packy",676050
"Jackson, Andre",656578
"Skubal, Tarik",669373
"Pagán, Emilio",641941
"Rasmussen, Drew",656876
"Jewell, Jake",657228
"Bubic, Kris",663460
"Zuber, Tyler",676604
"Ray, Corey",641999
"Castano, Daniel",641447
"Hurst, Scott",656568
"McKenzie, Triston",663474
"Dawson, Ronnie",669008
"Diekman, Jake",518617
"Wilson, Cody",680963
"Pérez, Cionel",672335
"Glasnow, Tyler",607192
"Call, Alex",669743
"Kennedy, Buddy",671083
"Suzuki, Seiya",673548
"Garcia, Maikel",672580
"Miranda, Jose",669304
"Melendez, MJ",669004
"Velázquez, Nelson",676369
"Kwan, Steven",680757
"Duran, Ezequiel",677649
"Pasquantino, Vinnie",686469
"Pinto, René",650907
"Rutschman, Adley",668939
"Witt Jr., Bobby",677951
"Stott, Bryson",681082
"Hamilton, Caleb",643348
"Hernandez, Elier",609274
"Greene, Riley",682985
"Abrams, CJ",682928
"Serven, Brian",661531
"Pratto, Nick",668472
"Rodríguez, Julio",677594
"Mitchell, Cal",668751
"Castillo, Diego",660636
"Herrera, Jose",645444
"Madris, Bligh",676632
"Peña, Jeremy",665161
"Harris II, Michael",671739
"Papierski, Michael",657709
"Morel, Christopher",666624
"Villar, David",681584
"Jones, Nolan",666134
"Batten, Matthew",676946
"Ruiz, Esteury",665923
"Thomas, Alek",677950
"Donovan, Brendan",680977
"Stefanic, Michael",683021
"Bleday, JJ",668709
"Lee, Korey",686676
"Allen, Nick",669397
"Garcia, Dermis",660650
"Bethancourt, Christian",542194
"Hall, Darick",669742
"Kolozsvary, Mark",656627
"Delay, Jason",641511
"Clemens, Kody",665019
"MacKinnon, David",676950
"Downs, Jeter",669023
"Eaton, Nate",681987
"Hicklen, Brewer",676551
"Yepez, Juan",660766
"Suwinski, Jack",669261
"Gorman, Nolan",669357
"Azocar, José",640492
"Smith, Josh H.",669701
"Matijevic, J.J.",656695
"Montero, Elehuris",660707
"Hummel, Cooper",669450
"Moreno, Gabriel",672515
"Capel, Conner",668843
"Torkelson, Spencer",679529
"Arias, Gabriel",672356
"Palacios, Richie",680700
"Herrera, Iván",671056
"Crook, Narciso",643271
"Gonzalez, Oscar",660757
"Okey, Chris",608360
"Sosa, Lenyn",672820
"Bride, Jonah",681146
"Bouchard, Sean",656248
"Peguero, Liover",678894
"Plummer, Nick",663911
"Stowers, Kyle",669065
"Ramos, Heliot",671218
"Swaggerty, Travis",680552
"Walker, Steele",667727
"Palacios, Jermaine",650339
"Soto, Livan",670869
"Kreidler, Ryan",668952
"Davis, Brendon",663478
"Guthrie, Dalton",656495
"Toglia, Michael",669911
"Tovar, Ezequiel",678662
"Grissom, Vaughn",687093
"Burleson, Alec",676475
"Wallner, Matt",670242
"Peraza, Oswald",672724
"Lopez, Otto",672640
"Diaz, Jordan",672478
"Vavra, Terrin",679631
"Garrett, Stone",656448
"Cabrera, Oswaldo",665828
"Waters, Drew",671221
"Leblanc, Charles",641779
"Massey, Michael",686681
"Langeliers, Shea",669127
"O'Hoppe, Logan",681351
"DeLuzio, Ben",641512
"Pérez, Carlos",656024
"Thompson, Bubba",669352
"Jung, Josh",673962
"Henderson, Gunnar",683002
"Carroll, Corbin",682998
"Groshans, Jordan",677954
"O'Keefe, Brian",657247
"Álvarez, Francisco",682626
"Vientos, Mark",668901
"Vargas, Miguel",678246
"Burdick, Peyton",680814
"Contreras, Mark",676628
"Naylor, Bo",666310
"Casas, Triston",671213
"Meneses, Joey",608841
"Freeman, Tyler",671289
"Steer, Spencer",668715
"Quiroz, Esteban",606019
"Aranda, Jonathan",666018
"Brennan, Will",686823
"Mitchell, Garrett",669003
"Hensley, David",682073
"Encarnacion, Jerar",666464
"Robinson, Chuckie",642020
"Carpenter, Kerry",681481
"Thomas, Cody",642137
"Johnson, Bryce",669369
"Sands, Donny",664848
"Aguilar, Ryan",666922
"Bernard, Wynton",592144
"Baty, Brett",683146
"Stevenson, Cal",670276
"Benson, Will",666181
"Outman, James",681546
"Krizan, Jason",607249
"Katoh, Gosuke",641741
"Fox, Lucius",665650
"Lopes, Christian",547173
"McDonald, Mickey",676782
"Lavastida, Bryan",681526
"Muzziotti, Símon",665922
"Perez, Joe",669309
"Blanco, Dairon",680118
"Dunand, Joe",656388
"Lewis, Royce",668904
"Bannon, Rylan",676625
"Whitefield, Aaron",664334
"Wilson, Marcus",657129
"Robertson, David",502085
"Smith-Njigba, Canaan",675986
"Fermin, Freddy",666023
"Rosario, Eguy",666703
"Diaz, Yainer",673237
"Pineda, Israel",672832
"Siani, Michael",672279
"Proctor, Ford",665154
"Bae, Ji Hwan",678225
"Mondou, Nate",670148
"Mastrobuoni, Miles",670156
"Young, Jared",676724
"Liberato, Luis",642451
"Lester, Josh",623507
"Phillips, Evan",623465
"Capra, Vinny",681962
"Méndez, Yohander",622795
"Estrada, Marco",462136
"Miller, Andrew",453192
"Hammel, Jason",434628
"Scribner, Troy",644428
"Romero, Fernando",622864
"Verlander, Justin",434378
"Gómez, Roberto",596816
"Snyder, Brandon",474319
"McGrath, Kyle",657681
"Moronta, Reyes",606625
"Salas, Fernando",477569
"Graves, Brett",605255
"Bowman, Matt",621199
"Biddle, Jesse",592145
"Bashlor, Tyler",641341
"Yarbrough, Ryan",642232
"Ramírez, Neil",519166
"Loáisiga, Jonathan",642528
"Betances, Dellin",476454
"Rucinski, Drew",607968
"Hill, Tim",657612
"Chirinos, Yonny",630023
"Peacock, Brad",502748
"Mella, Keury",622492
"Duke, Zach",435043
"Castillo, José",620454
"Cishek, Steve",518553
"Cordero, Jimmy",622772
"Bradley, Archie",605151
"Luciano, Elvis",672773
"Soto, Gregory",642397
"Smith, Burch",572143
"Reyes, Gerardo",622103
"Vincent, Nick",543883
"Nicasio, Juan",504379
"Barnes, Matt",598264
"Walden, Marcus",519393
"Wright, Kyle",657140
"Sparkman, Glenn",642098
"Green, Chad",643338
"Ramirez, Nick",598286
"Jurado, Ariel",642558
"Parker, Blake",453284
"Howard, Sam",607572
"Kikuchi, Yusei",579328
"Sheffield, Justus",656954
"Garcia, Rico",670329
"Kinley, Tyler",641755
"Guerra, Javy",457915
"Payano, Pedro",622797
"Suarez, José",660761
"Jansen, Kenley",445276
"Strickland, Hunter",519326
"Brothers, Rex",571521
"Clay, Sam",621348
"Hentges, Sam",656529
"Pop, Zach",647315
"Baragar, Caleb",670056
"Selman, Sam",572125
"Whitlock, Garrett",676477
"Yajure, Miguel",664337
"Ruiz, José",614179
"Bettinger, Alec",676424
"Rodríguez, Manuel",655889
"Topa, Justin",623437
"Rucker, Michael",621074
"Rodón, Carlos",607074
"Barnes, Charlie",656212
"Bednar, David",670280
"Kopech, Michael",656629
"Fleming, Josh",676596
"Bickford, Phil",641360
"Reetz, Jakson",656883
"Waddell, Brandon",663399
"Reyes, Alex",621052
"Crouse, Hans",668968
"Minter, A.J.",621345
"Knebel, Corey",608349
"Castellanos, Humberto",528748
"Overton, Connor",656818
"Ryan, Joe",657746
"Medina, Adonis",658431
"Harper, Ryne",607560
"Manning, Matt",666159
"Garcia, Luis",677651
"Hembree, Heath",592390
"Robertson, Kramer",670298
"Diaz, Yusniel",666783
"Larsen, Jack",677223
"Alvarado, José",621237
"McGuire, Deck",592547
"Magill, Matt",543483
"Cobb, Alex",502171
"Blackburn, Paul",621112
"Medlen, Kris",450665
"Flynn, Brian",543169
"Gallardo, Yovani",451596
"Thompson, Jake",622097
"Saupold, Warwick",599683
"Garrett, Amir",607237
"Robles, Hansel",570663
"Strop, Pedro",467008
"Hernandez, David",456696
"Ríos, Yacksel",605441
"VerHagen, Drew",572403
"Ramírez, Yefry",606162
"Morrow, Brandon",453344
"Miller, Justin",502522
"Kintzler, Brandon",445213
"Sale, Chris",519242
"Peralta, Wandy",593974
"Hand, Brad",543272
"Romero, Enny",544836
"Quijada, José",650671
"Osich, Josh",592612
"Drake, Oliver",543118
"Carasiti, Matt",571539
"Canning, Griffin",656288
"Eshelman, Thomas",664045
"Rainey, Tanner",663432
"Jeffress, Jeremy",502026
"Kuhnel, Joel",669270
"Smith, Will",519293
"Gott, Trevor",641627
"Walker, Jeremy",668683
"Williams, Devin",642207
"Zeuch, T.J.",643615
"Lyons, Tyler",544928
"Coonrod, Sam",656322
"Castellani, Ryan",624418
"Nogosek, Stephen",668665
"Kimbrel, Craig",518886
"Sánchez, Miguel",667376
"Szapucki, Thomas",663378
"Mejía, J.C.",650496
"Elledge, Seth",676220
"Jones, Nate",518858
"Santana, Edgar",650828
"Smith, Drew",622098
"Bender, Anthony",669622
"Graterol, Brusdar",660813
"Bard, Daniel",453268
"Strider, Spencer",675911
"Lindblom, Josh",458676
"Corcino, Daniel",542289
"Melancon, Mark",453343
"Coulombe, Danny",543056
