"batter","hitter_name","exit_velo_95","O_swing","Z_swing","Z_contact","LA","wOBA","cluster"
405395,"Pujols, Albert",107.795,0.373271889400922,0.665377176015474,0.88953488372093,15.109561752988,0.387142857142857,"1"
408234,"Cabrera, Miguel",104.045,0.356858846918489,0.732704402515723,0.800429184549356,13.9179755671902,0.283411214953271,"2"
425877,"Molina, Yadier",99.525,0.478559176672384,0.741935483870968,0.836120401337793,19.8755868544601,0.245555555555556,"3"
429664,"Canó, Robinson",107.3,0.45679012345679,0.762589928057554,0.905660377358491,11.1032258064516,0.187980769230769,"1"
435559,"Suzuki, Kurt",100.845,0.311953352769679,0.712,0.887640449438202,22.8584905660377,0.260126582278481,"3"
443558,"Cruz, Nelson",107.9,0.356443719412724,0.75065274151436,0.775652173913044,12.4758942457232,0.308764940239044,"2"
444482,"Peralta, David",106.32,0.367088607594937,0.712707182320442,0.858527131782946,18.7660910518053,0.316907216494845,"3"
444876,"Escobar, Alcides",98.955,0.446601941747573,0.691542288557214,0.848920863309353,20.6,0.251145038167939,"3"
446334,"Longoria, Evan",106.075,0.30975954738331,0.641666666666667,0.775974025974026,17.8381502890173,0.334966216216216,"2"
453568,"Blackmon, Charlie",102.875,0.368163265306122,0.725787631271879,0.85048231511254,17.6713197969543,0.331040564373898,"3"
455117,"Maldonado, Martín",102.9,0.359060402684564,0.70840197693575,0.823255813953488,17.0736842105263,0.267914438502674,"3"
455139,"Chirinos, Robinson",102.36,0.364326375711575,0.726993865030675,0.793248945147679,17.5921568627451,0.272374429223744,"2"
456715,"Cain, Lorenzo",104.32,0.35792349726776,0.77431906614786,0.844221105527638,11.4581497797357,0.236217948717949,"1"
456781,"Solano, Donovan",103.865,0.37280701754386,0.671428571428571,0.884498480243161,19.0514018691589,0.32809364548495,"3"
457705,"McCutchen, Andrew",104.475,0.254676258992806,0.726899383983573,0.843220338983051,16.153743315508,0.315657439446367,"3"
457759,"Turner, Justin",103.3,0.321344800625489,0.720231213872832,0.85553772070626,23.1122448979592,0.350943396226415,"3"
458015,"Votto, Joey",105.15,0.293258426966292,0.725589225589226,0.784222737819026,18.8650442477876,0.318010752688172,"2"
462101,"Andrus, Elvis",103.3,0.337555886736215,0.62967032967033,0.870855148342059,14.9500657030223,0.320695652173913,"4"
467793,"Santana, Carlos",106.315,0.261354581673307,0.681874229346486,0.837251356238698,18.9909090909091,0.309722222222222,"3"
474832,"Belt, Brandon",102.76,0.261707988980716,0.794871794871795,0.755376344086022,22.4366197183099,0.306925675675676,"3"
476704,"Lowrie, Jed",101.33,0.278026905829596,0.782918149466192,0.809090909090909,22.9958158995816,0.23125,"3"
488726,"Brantley, Michael",103.575,0.267111853088481,0.631449631449631,0.910505836575875,13.6560693641618,0.354243542435424,"4"
493329,"Gurriel, Yuli",103.495,0.3813882532418,0.654658385093168,0.916508538899431,21.4608076009501,0.296041308089501,"3"
500743,"Rojas, Miguel",102.1,0.353581142339075,0.671809256661992,0.960334029227557,15.2313218390805,0.28640873015873,"4"
500871,"Escobar, Eduardo",104.6,0.392006149116065,0.74238578680203,0.813675213675214,22.5006711409396,0.31449814126394,"2"
502054,"Pham, Tommy",106.445,0.261954261954262,0.634651600753296,0.850148367952522,13.4755434782609,0.308467741935484,"1"
502110,"Martinez, J.D.",105.6,0.355886332882273,0.784851811196487,0.788811188811189,17.298309178744,0.348482293423272,"2"
502671,"Goldschmidt, Paul",107.6,0.280345040049291,0.623376623376623,0.78125,18.2240717029449,0.433101851851852,"2"
503556,"Gonzalez, Marwin",103.24,0.384615384615385,0.672782874617737,0.881818181818182,20.5559440559441,0.276485148514852,"3"
514888,"Altuve, Jose",104.3,0.318488529014845,0.665859564164649,0.909090909090909,15.645443196005,0.40559265442404,"4"
514917,"Hernández, César",102.1,0.309740714786265,0.725239616613419,0.876651982378855,12.1825980392157,0.294108019639934,"4"
516416,"Segura, Jean",105.4,0.380622837370242,0.660482374768089,0.890449438202247,10.2711538461538,0.337467362924282,"1"
516782,"Marte, Starling",106,0.370434782608696,0.68961038961039,0.851224105461394,9.97443609022556,0.367326732673267,"1"
518586,"Culberson, Charlie",100.89,0.461240310077519,0.773480662983425,0.842857142857143,11.1913580246914,0.305,"4"
518595,"d'Arnaud, Travis",104.7,0.397074190177638,0.71301775147929,0.804979253112033,16.5008576329331,0.348581560283688,"2"
518626,"Donaldson, Josh",105.8,0.332835820895522,0.698679471788715,0.745704467353952,17.2071651090343,0.313786764705882,"2"
518692,"Freeman, Freddie",104.79,0.319648093841642,0.773333333333333,0.862068965517241,17.6510263929619,0.405411255411255,"3"
518735,"Grandal, Yasmani",105.1,0.254385964912281,0.594553706505295,0.860050890585242,20.0980810234542,0.267866666666667,"3"
518792,"Heyward, Jason",106.65,0.352760736196319,0.671052631578947,0.803921568627451,16.9050279329609,0.263,"2"
518934,"LeMahieu, DJ",103.7,0.277866242038217,0.557174887892377,0.89738430583501,11.89001447178,0.346741154562384,"4"
519058,"Moustakas, Mike",105.1,0.417009602194787,0.760095011876485,0.83125,22.7377450980392,0.285964912280702,"2"
519203,"Rizzo, Anthony",105.86,0.334372564302416,0.657384987893462,0.871086556169429,20.6394366197183,0.351014760147601,"3"
519222,"Romine, Austin",103.2,0.403973509933775,0.746341463414634,0.751633986928105,17.6588235294118,0.209469696969697,"2"
519317,"Stanton, Giancarlo",114.9,0.31151832460733,0.63150289017341,0.704805491990847,16.1652542372881,0.333370535714286,"2"
519390,"Vogt, Stephen",100.66,0.355263157894737,0.65891472868217,0.841176470588235,22.2096069868996,0.257591623036649,"3"
